Date,Campaign_ID,Campaign,Primary_channel_group,Source,Total_users,Sessions,Ads_impressions,Ads_clicks,Ads_cost,Return_on_ad_spend,Ads_CTR
2025-04-29,22377183748,G_PMAX_Padel_Tier1_Mar25,Cross-network,google,1,1,443,3,1.787277,0.0,0.006772009029345372
2025-04-29,21938652714,(not set),Display,google,0,0,3,0,0.0,0.0,0.0
2025-04-29,21938652714,(not set),Paid Search,google,0,0,160,12,2.280424,0.0,0.075
2025-04-29,21964277743,(not set),Paid Shopping,google,0,0,301,0,0.0,0.0,0.0
2025-04-29,22377170377,(not set),Cross-network,google,0,0,77,6,9.88,0.0,0.07792207792207792
2025-04-28,(not set),(direct),Direct,(direct),2,2,0,0,0.0,0.0,0.0
2025-04-28,(not set),(organic),Organic Search,google,1,1,0,0,0.0,0.0,0.0
2025-04-28,21938652714,(not set),Paid Search,google,0,0,180,23,5.203448,0.0,0.12777777777777777
2025-04-28,22377170377,(not set),Cross-network,google,0,0,68,3,4.880412,0.0,0.04411764705882353
2025-04-27,(not set),(direct),Direct,(direct),1,1,0,0,0.0,0.0,0.0
2025-04-27,(not set),(referral),Organic Shopping,admin.shopify.com,1,1,0,0,0.0,0.0,0.0
2025-04-27,(not set),(referral),Referral,matchmaking.grip.events,1,1,0,0,0.0,0.0,0.0
2025-04-27,21938652714,G_Search_Brand,Paid Search,google,1,1,58,10,5.102771,0.0,0.1724137931034483
2025-04-27,22367129997,G_PMAX_Padel_Tier2_Mar25,Cross-network,google,1,1,749,3,2.653167,0.0,0.004005340453938585
2025-04-27,21934847264,(not set),Paid Shopping,google,0,0,343,0,0.0,0.0,0.0
2025-04-27,21938652714,(not set),Display,google,0,0,10,0,0.0,0.0,0.0
2025-04-27,21938652714,(not set),Paid Search,google,0,0,11,1,0.07,0.0,0.09090909090909091
2025-04-27,21964277743,(not set),Paid Shopping,google,0,0,4000,28,11.53024,0.0,0.007
2025-04-27,22377170377,(not set),Cross-network,google,0,0,62,3,1.578644,0.0,0.04838709677419355
2025-04-26,21934847264,Google_Shopping_Pickleball,Paid Shopping,google,10,11,5100,57,15.241409,19.8780834501587,0.011176470588235295
